date,type,description,latitude,longitude,district,address
2026-05-29T22:50:00.000,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,41.89460313,-87.745794917,011,007XX N CICERO AVE
2026-05-29T22:50:00.000,BURGLARY,UNLAWFUL ENTRY,41.957718464,-87.768377792,016,042XX N PARKSIDE AVE
2026-05-29T22:47:00.000,ROBBERY,STRONG ARM - NO WEAPON,41.809125265,-87.631906508,009,002XX W 47TH ST
2026-05-29T22:45:00.000,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,41.94086715,-87.730778344,017,041XX W SCHOOL ST
2026-05-29T22:40:00.000,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",41.903077492,-87.683673325,012,022XX W DIVISION ST
2026-05-29T22:40:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.710854293,-87.566967811,004,101XX S CRANDON AVE
2026-05-29T22:36:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.823628586,-87.632779182,009,002XX W PERSHING RD
2026-05-29T22:36:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.943727951,-87.791621775,016,066XX W CORNELIA AVE
2026-05-29T22:35:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.785833078,-87.672864539,007,059XX S WINCHESTER AVE
2026-05-29T22:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.765925925,-87.564340689,003,071XX S COLES AVE
2026-05-29T22:30:00.000,THEFT,FROM BUILDING,41.960381749,-87.673943942,019,043XX N RAVENSWOOD AVE
2026-05-29T22:30:00.000,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,41.887061788,-87.630044679,001,0000X W RIVERWALK S
2026-05-29T22:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.750523732,-87.622979997,006,079XX S WABASH AVE
2026-05-29T22:28:00.000,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,41.898279962,-87.716405505,011,009XX N CENTRAL PARK AVE
2026-05-29T22:21:00.000,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.720933669,-87.61532795,005,095XX S CALUMET AVE
2026-05-29T22:15:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.808769387,-87.619574873,002,047XX S PRAIRIE AVE
2026-05-29T22:10:00.000,ASSAULT,SIMPLE,41.882364871,-87.626222,001,0000X N WABASH AVE
2026-05-29T22:01:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,41.865397251,-87.708075934,010,012XX S SPAULDING AVE
2026-05-29T22:00:00.000,BURGLARY,BURGLARY FROM MOTOR VEHICLE,41.937939683,-87.714895047,014,031XX N ST LOUIS AVE
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,41.746235407,-87.657264219,006,081XX S ADA ST
2026-05-29T22:00:00.000,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,41.992729348,-87.689718576,024,061XX N WESTERN AVE
2026-05-29T22:00:00.000,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,41.864773128,-87.647301394,012,008XX W MAXWELL ST
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.913087323,-87.635765995,018,017XX N CRILLY CT
2026-05-29T22:00:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.96249064,-87.663744765,019,044XX N BEACON ST
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.718077976,-87.593444932,005,097XX S AVALON AVE
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,41.707756212,-87.580708771,004,103XX S DOTY AVE E
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.722186888,-87.595683557,005,011XX E 95TH ST
2026-05-29T22:00:00.000,CRIMINAL DAMAGE,TO PROPERTY,41.856058687,-87.722379926,010,018XX S SPRINGFIELD AVE
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.922419489,-87.698013546,014,028XX W LYNDALE ST
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.895570566,-87.769069093,015,008XX N MASSASOIT AVE
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.943630542,-87.648537142,019,007XX W ROSCOE ST
2026-05-29T22:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.970804124,-87.777065641,016,049XX N MASON AVE
2026-05-29T22:00:00.000,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,41.919718335,-87.782888821,025,021XX N MOBILE AVE
2026-05-29T22:00:00.000,BURGLARY,FORCIBLE ENTRY,41.753514289,-87.651393689,006,077XX S ABERDEEN ST
2026-05-29T22:00:00.000,ROBBERY,ARMED - HANDGUN,41.911232479,-87.667708475,014,016XX N ASHLAND AVE
2026-05-29T21:50:00.000,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,41.692576964,-87.623786349,005,0000X W 111TH ST
2026-05-29T21:49:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.844886587,-87.636540363,009,026XX S STEWART AVE
2026-05-29T21:45:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.703419627,-87.631353725,005,003XX W 105TH ST
2026-05-29T21:34:00.000,THEFT,$500 AND UNDER,41.829651528,-87.614451899,002,035XX S RHODES AVE
2026-05-29T21:31:00.000,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,41.866125406,-87.657841894,012,012XX W WASHBURNE AVE
2026-05-29T21:30:00.000,ASSAULT,SIMPLE,41.763435021,-87.565297784,003,072XX S PHILLIPS AVE
2026-05-29T21:30:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.782353014,-87.620472889,003,061XX S INDIANA AVE
2026-05-29T21:30:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.960381749,-87.673943942,019,043XX N RAVENSWOOD AVE
2026-05-29T21:30:00.000,THEFT,OVER $500,41.880238942,-87.76527117,015,056XX W MADISON ST
2026-05-29T21:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.894215453,-87.719937552,011,007XX N RIDGEWAY AVE
2026-05-29T21:28:00.000,THEFT,RETAIL THEFT,41.917078812,-87.756695962,025,052XX W GRAND AVE
2026-05-29T21:25:00.000,PUBLIC PEACE VIOLATION,OTHER VIOLATION,41.886530422,-87.744355834,011,047XX W LAKE ST
2026-05-29T21:19:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.729497895,-87.656805957,022,090XX S ADA ST
2026-05-29T21:09:00.000,CRIMINAL TRESPASS,TO LAND,41.692654519,-87.707012967,022,110XX S TRUMBULL AVE
2026-05-29T21:05:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.793280756,-87.651207026,007,055XX S CARPENTER ST
2026-05-29T21:05:00.000,CRIMINAL TRESPASS,TO LAND,41.75842474,-87.741669261,008,074XX S CICERO AVE
2026-05-29T21:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.76280162,-87.621631346,003,072XX S MICHIGAN AVE
2026-05-29T21:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.866730682,-87.730087246,011,011XX S KEELER AVE
2026-05-29T21:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.815255723,-87.668787566,009,043XX S HERMITAGE AVE
2026-05-29T21:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.878223912,-87.627130568,001,0000X E JACKSON BLVD
2026-05-29T21:00:00.000,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.902936723,-87.644453875,018,011XX N HOWE ST
2026-05-29T21:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.935954629,-87.75744478,025,052XX W NELSON ST
2026-05-29T21:00:00.000,THEFT,OVER $500,41.891990384,-87.611461502,018,006XX E GRAND AVE
2026-05-29T20:55:00.000,PUBLIC PEACE VIOLATION,MOB ACTION,41.882389156,-87.624374606,001,0000X N MICHIGAN AVE
2026-05-29T20:51:00.000,CRIMINAL TRESPASS,TO LAND,41.942017312,-87.784479763,016,063XX W ROSCOE ST
2026-05-29T20:50:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.858300164,-87.711533263,010,016XX S TRUMBULL AVE
2026-05-29T20:48:00.000,BATTERY,SIMPLE,41.953177006,-87.767307661,016,056XX W IRVING PARK RD
2026-05-29T20:43:00.000,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",41.934906879,-87.768046249,025,056XX W WELLINGTON AVE
2026-05-29T20:38:00.000,BURGLARY,BURGLARY FROM MOTOR VEHICLE,41.892694698,-87.626750816,018,006XX N WABASH AVE
2026-05-29T20:37:00.000,BATTERY,AGGRAVATED - HANDGUN,41.656262714,-87.596988854,005,131XX S ELLIS AVE
2026-05-29T20:30:00.000,THEFT,$500 AND UNDER,41.838803519,-87.656433891,009,030XX S HAYNES CT
2026-05-29T20:30:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.975955404,-87.822623081,016,078XX W BERWYN AVE
2026-05-29T20:30:00.000,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,41.845577671,-87.627475027,001,0000X W 26TH ST
2026-05-29T20:30:00.000,CRIMINAL DAMAGE,TO PROPERTY,41.860720287,-87.658956027,012,015XX S THROOP ST
2026-05-29T20:27:00.000,CRIMINAL DAMAGE,TO PROPERTY,42.018499877,-87.687740193,024,075XX N OAKLEY AVE
2026-05-29T20:22:00.000,CRIMINAL DAMAGE,TO PROPERTY,41.805726765,-87.673404828,009,048XX S WINCHESTER AVE
2026-05-29T20:15:00.000,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,41.837448631,-87.648694199,009,031XX S LITUANICA AVE
2026-05-29T20:12:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.7049345,-87.602736241,005,104XX S MARYLAND AVE
2026-05-29T20:10:00.000,BATTERY,SIMPLE,41.881348623,-87.674525788,012,019XX W MADISON ST
2026-05-29T20:09:00.000,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,41.788987036,-87.74147999,008,057XX S CICERO AVE
2026-05-29T20:07:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,41.909959927,-87.719570087,025,037XX W NORTH AVE
2026-05-29T20:07:00.000,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,41.778588992,-87.606205054,003,007XX E 64TH ST
2026-05-29T20:05:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.947158051,-87.7053882,017,036XX N ALBANY AVE
2026-05-29T20:04:00.000,ASSAULT,SIMPLE,41.880751096,-87.723855981,011,039XX W MADISON ST
2026-05-29T20:00:00.000,THEFT,OVER $500,41.965913763,-87.663933219,019,046XX N BEACON ST
2026-05-29T20:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.765806443,-87.609740049,003,006XX E 71ST ST
2026-05-29T20:00:00.000,DECEPTIVE PRACTICE,BOGUS CHECK,,,001,002XX N STATE ST
2026-05-29T20:00:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.876663961,-87.64776174,012,008XX W VAN BUREN ST
2026-05-29T20:00:00.000,OTHER OFFENSE,TELEPHONE THREAT,41.73892168,-87.698616307,008,030XX W 85TH ST
2026-05-29T20:00:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.734547924,-87.585594973,004,088XX S STONY ISLAND AVE
2026-05-29T19:57:00.000,BATTERY,SIMPLE,41.879392098,-87.633264712,001,001XX W ADAMS ST
2026-05-29T19:56:00.000,BATTERY,AGGRAVATED - HANDGUN,41.765085055,-87.651989617,007,011XX W 71ST ST
2026-05-29T19:50:00.000,ROBBERY,ARMED - HANDGUN,41.721198652,-87.663761194,022,016XX W 95TH ST
2026-05-29T19:48:00.000,ASSAULT,SIMPLE,41.836816162,-87.665724279,009,031XX S ASHLAND AVE
2026-05-29T19:47:00.000,THEFT,RETAIL THEFT,41.924673521,-87.711230943,014,033XX W FULLERTON AVE
2026-05-29T19:45:00.000,CRIMINAL TRESPASS,TO RESIDENCE,41.654889775,-87.54956219,004,132XX S CARONDOLET AVE
2026-05-29T19:45:00.000,ROBBERY,ARMED - HANDGUN,41.802362316,-87.597093648,002,011XX E HYDE PARK BLVD
2026-05-29T19:45:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.724418479,-87.661537165,022,093XX S JUSTINE ST
2026-05-29T19:40:00.000,THEFT,RETAIL THEFT,41.93121391,-87.676890454,019,027XX N CLYBOURN AVE
2026-05-29T19:35:00.000,ASSAULT,SIMPLE,42.019398729,-87.67543958,024,017XX W HOWARD ST
2026-05-29T19:32:00.000,CRIMINAL TRESPASS,TO LAND,41.867189154,-87.716175839,011,036XX W GRENSHAW ST
2026-05-29T19:32:00.000,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,41.683974925,-87.615621848,005,003XX E KENSINGTON AVE
2026-05-29T19:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.879962531,-87.679765401,012,021XX W MONROE ST
2026-05-29T19:30:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.882215163,-87.677770467,012,020XX W WARREN BLVD
2026-05-29T19:30:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.855190551,-87.623871195,001,020XX S MICHIGAN AVE
2026-05-29T19:30:00.000,ROBBERY,STRONG ARM - NO WEAPON,41.86627812,-87.717208895,011,036XX W ROOSEVELT RD
2026-05-29T19:27:00.000,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,41.658360833,-87.539884763,004,130XX S AVENUE O
2026-05-29T19:26:00.000,THEFT,OVER $500,41.884354852,-87.674270893,012,001XX N WOLCOTT AVE
2026-05-29T19:23:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.750971339,-87.563793592,004,079XX S ESSEX AVE
2026-05-29T19:23:00.000,THEFT,RETAIL THEFT,41.94044868,-87.651081589,019,032XX N CLARK ST
2026-05-29T19:21:00.000,CRIMINAL DAMAGE,TO PROPERTY,41.995159052,-87.658373656,024,062XX N WINTHROP AVE
2026-05-29T19:20:00.000,OTHER OFFENSE,HARASSMENT BY TELEPHONE,41.786260252,-87.702483681,008,031XX W 59TH ST
2026-05-29T19:06:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.746034221,-87.584963344,004,016XX E 82ND ST
2026-05-29T19:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.911964984,-87.775313677,025,017XX N AUSTIN AVE
2026-05-29T19:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.877756484,-87.720642095,011,002XX S HAMLIN BLVD
2026-05-29T19:00:00.000,BURGLARY,FORCIBLE ENTRY,41.938597813,-87.76470207,016,055XX W BELMONT AVE
2026-05-29T19:00:00.000,THEFT,OVER $500,,,009,028XX S Pitney Ct
2026-05-29T19:00:00.000,BURGLARY,BURGLARY FROM MOTOR VEHICLE,41.873875832,-87.687534388,011,024XX W HARRISON ST
2026-05-29T19:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.71546638,-87.603038187,005,098XX S MARYLAND AVE
2026-05-29T18:55:00.000,THEFT,RETAIL THEFT,41.888525948,-87.644322264,012,003XX N DESPLAINES ST
2026-05-29T18:50:00.000,THEFT,OVER $500,41.941569911,-87.665353076,019,014XX W SCHOOL ST
2026-05-29T18:45:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.922679356,-87.724710137,025,039XX W Belden Ave
2026-05-29T18:42:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.677599479,-87.657199688,005,014XX W 119TH ST
2026-05-29T18:38:00.000,OTHER OFFENSE,LICENSE VIOLATION,41.909988162,-87.717156125,025,036XX W NORTH AVE
2026-05-29T18:37:00.000,ASSAULT,AGGRAVATED - HANDGUN,41.747577445,-87.608218797,006,006XX E 81ST ST
2026-05-29T18:35:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.977833608,-87.68044264,020,020XX W BERWYN AVE
2026-05-29T18:35:00.000,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,41.937718623,-87.640613767,019,004XX W BARRY AVE
2026-05-29T18:30:00.000,BURGLARY,UNLAWFUL ENTRY,41.719349279,-87.616499406,005,096XX S FOREST AVE
2026-05-29T18:30:00.000,THEFT,RETAIL THEFT,41.754592961,-87.741528537,008,076XX S CICERO AVE
2026-05-29T18:30:00.000,THEFT,$500 AND UNDER,41.701022707,-87.60993217,005,106XX S RHODES AVE
2026-05-29T18:28:00.000,BATTERY,SIMPLE,41.779770229,-87.730118354,008,062XX S KILDARE AVE
2026-05-29T18:25:00.000,THEFT,RETAIL THEFT,41.975370278,-87.744023432,017,046XX W FOSTER AVE
2026-05-29T18:20:00.000,ROBBERY,ARMED - HANDGUN,41.880515006,-87.743816194,011,047XX W MADISON ST
2026-05-29T18:20:00.000,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,41.770714961,-87.6069685,003,068XX S EVANS AVE
2026-05-29T18:20:00.000,THEFT,RETAIL THEFT,41.814317008,-87.606674143,002,044XX S COTTAGE GROVE AVE
2026-05-29T18:15:00.000,CRIMINAL TRESPASS,TO RESIDENCE,41.856033126,-87.717593553,010,018XX S LAWNDALE AVE
2026-05-29T18:15:00.000,THEFT,RETAIL THEFT,41.981051896,-87.668375719,020,054XX N CLARK ST
2026-05-29T18:08:00.000,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,41.913376455,-87.670206562,014,017XX N PAULINA ST
2026-05-29T18:08:00.000,BATTERY,SIMPLE,41.791380199,-87.724699662,008,040XX W 56TH ST
2026-05-29T18:00:00.000,THEFT,FROM BUILDING,41.863391563,-87.624063216,001,014XX S MICHIGAN AVE
2026-05-29T18:00:00.000,THEFT,THEFT FROM MOTOR VEHICLE,41.734662471,-87.567157477,004,088XX S OGLESBY AVE
2026-05-29T18:00:00.000,THEFT,FROM BUILDING,41.983670812,-87.657262868,020,010XX W BRYN MAWR AVE
2026-05-29T18:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.905322054,-87.729904096,025,041XX W KAMERLING AVE
2026-05-29T18:00:00.000,THEFT,OVER $500,41.96607814,-87.647153241,019,046XX N LAKE SHORE DR NB
2026-05-29T18:00:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.930935218,-87.791219202,025,066XX W DIVERSEY AVE
2026-05-29T18:00:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.925025117,-87.635834399,018,023XX N STOCKTON DR
2026-05-29T18:00:00.000,ASSAULT,SIMPLE,41.92772943,-87.76003602,025,053XX W WRIGHTWOOD AVE
2026-05-29T18:00:00.000,THEFT,$500 AND UNDER,41.795092179,-87.594444775,002,013XX E 55TH ST
2026-05-29T18:00:00.000,BATTERY,DOMESTIC BATTERY SIMPLE,41.753526795,-87.66190439,006,077XX S LAFLIN ST
2026-05-29T18:00:00.000,KIDNAPPING,UNLAWFUL VISITATION INTERFERENCE,41.805804937,-87.663676902,009,048XX S JUSTINE ST
2026-05-29T18:00:00.000,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,41.863391563,-87.624063216,001,014XX S MICHIGAN AVE
2026-05-29T18:00:00.000,THEFT,$500 AND UNDER,41.8087017,-87.622821809,002,047XX S MICHIGAN AVE
2026-05-29T18:00:00.000,THEFT,OVER $500,41.884333364,-87.619266937,001,003XX E RANDOLPH ST
2026-05-29T18:00:00.000,BATTERY,SIMPLE,41.96203391,-87.645898728,019,006XX W MONTROSE DR
2026-05-29T18:00:00.000,CRIMINAL TRESPASS,TO RESIDENCE,41.783445986,-87.641239215,007,006XX W 61ST ST
2026-05-29T17:52:00.000,OTHER OFFENSE,TELEPHONE THREAT,41.875190656,-87.731549859,011,042XX W VAN BUREN ST
2026-05-29T17:51:00.000,THEFT,$500 AND UNDER,41.750706625,-87.610067237,006,079XX S ST LAWRENCE AVE
2026-05-29T17:48:00.000,THEFT,RETAIL THEFT,41.93121391,-87.676890454,019,027XX N CLYBOURN AVE
2026-05-29T17:47:00.000,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,41.761063057,-87.632111299,007,073XX S PRINCETON AVE
2026-05-29T17:47:00.000,CRIMINAL DAMAGE,TO VEHICLE,41.735972951,-87.619362917,006,087XX S INDIANA AVE
2026-05-29T17:45:00.000,THEFT,$500 AND UNDER,41.972643078,-87.661674707,020,012XX W ARGYLE ST
2026-05-29T17:45:00.000,ASSAULT,AGGRAVATED - OTHER FIREARM,41.790102362,-87.632880321,007,057XX S PRINCETON AVE
2026-05-29T17:39:00.000,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,41.771981164,-87.620283471,003,067XX S INDIANA AVE
2026-05-29T17:35:00.000,THEFT,$500 AND UNDER,41.949363441,-87.667708946,019,037XX N BOSWORTH AVE
2026-05-29T17:30:00.000,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,41.736922044,-87.551419766,004,087XX S COMMERCIAL AVE
2026-05-29T17:30:00.000,MOTOR VEHICLE THEFT,AUTOMOBILE,41.663403306,-87.625793875,005,001XX W 127TH ST
